""
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"M   "
"M   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"M   "
"M   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"M   "
"M   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"M   "
"M   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"F   "
"M   "
"M   "
"F   "
"F   "
"M   "
"M"
