"ENSEMBLID","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange"
"ENSG00000225602",3,2,0,3,2,5,1,3,0,0,3,1,0,2,2,2,0,0,1,3,2,2,1,1,3,2,1,0,1,2,0,0,0,0,1.52941176470588,2,1.375,0,1.30769230769231,0.899038461538462,-0.529411764705882
"ENSG00000275756",2,0,0,0,1,2,4,1,0,2,0,2,1,1,4,5,1,2,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,1.52941176470588,0.5,0.5,0,0.326923076923077,0.326923076923077,-0.529411764705882
"ENSG00000261898",2,2,4,0,1,1,0,3,2,0,1,2,0,0,5,1,1,3,0,1,4,1,0,1,1,0,2,0,2,1,0,0,0,0,1.52941176470588,1.5,0.875,0,0.980769230769231,0.572115384615385,-0.529411764705882
"ENSG00000233680",2,0,1,3,0,1,1,0,1,1,2,3,2,0,6,5,1,0,1,0,6,1,0,0,0,1,0,0,1,3,0,0,0,0,1.58823529411765,2,0.625,0,1.25925925925926,0.393518518518519,-0.588235294117647
"ENSG00000202354",0,1,0,2,1,2,0,1,1,5,4,0,3,2,0,2,2,2,1,1,1,1,2,1,0,1,1,2,2,1,0,0,0,0,1.64705882352941,1,1.25,0,0.607142857142857,0.758928571428572,-0.647058823529412
"ENSG00000233541",0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,4,2,7,1,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,1.70588235294118,2,0.25,0,1.17241379310345,0.146551724137931,-0.705882352941176
"ENSG00000261029",1,2,1,2,0,0,2,0,0,7,2,0,1,0,4,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.70588235294118,0,0.25,0,-0.705882352941176,0.146551724137931,-0.705882352941176
"ENSG00000235085",0,1,0,3,2,2,1,6,1,0,2,1,0,0,5,3,1,1,1,4,2,1,3,0,3,0,2,2,2,3,0,0,0,0,1.70588235294118,2,1.875,0,1.17241379310345,1.09913793103448,-0.705882352941176
"ENSG00000222915",2,0,1,2,2,1,2,2,0,1,2,0,0,4,4,4,4,0,1,0,0,3,0,2,1,1,2,1,1,0,0,0,0,0,1.70588235294118,1,1,0,0.586206896551724,0.586206896551724,-0.705882352941176
"ENSG00000262497",1,0,1,3,2,0,2,3,0,0,4,0,8,3,3,2,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.82352941176471,1.25,0.25,0,0.685483870967742,0.137096774193548,-0.823529411764706
"ENSG00000224029",0,3,0,0,0,0,2,1,0,0,1,3,1,7,2,7,0,5,0,0,1,2,6,1,0,0,0,0,0,2,0,0,0,0,1.88235294117647,0.75,1.125,0,0.3984375,0.59765625,-0.882352941176471
"ENSG00000267595",3,0,1,0,2,2,0,1,0,0,6,1,5,1,4,4,5,0,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1.88235294117647,0.5,0.625,0,0.265625,0.33203125,-0.882352941176471
"ENSG00000272917",2,1,4,0,6,1,0,3,1,4,1,0,0,3,0,2,6,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.94117647058824,0.5,0.625,0,0.257575757575758,0.321969696969697,-0.941176470588235
"ENSG00000254416",0,7,1,3,2,1,0,7,0,0,5,1,1,0,3,2,1,0,1,0,4,2,1,5,2,2,0,2,0,2,0,0,0,0,2,1.75,1.75,0,0.875,0.875,-1
"ENSG00000248366",0,2,1,5,1,3,2,2,0,3,7,2,0,1,0,3,2,1,3,1,2,1,0,0,0,0,0,0,3,1,0,0,0,0,2.05882352941176,1.75,0.5,0,0.85,0.242857142857143,-1.05882352941176
"ENSG00000213925",1,5,5,0,3,1,0,6,2,1,2,0,0,2,1,4,2,3,8,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,2.17647058823529,2.75,0.375,0,1.26351351351351,0.172297297297297,-1.17647058823529
"ENSG00000267565",1,2,2,1,1,4,2,4,2,2,4,0,1,2,1,1,1,9,1,0,2,1,1,1,2,2,0,1,4,2,0,0,0,0,2.29411764705882,1,1.625,0,0.435897435897436,0.708333333333333,-1.29411764705882
"ENSG00000236073",0,0,4,2,2,0,9,7,1,2,9,0,1,3,0,0,1,1,2,2,3,0,2,4,3,4,0,0,3,4,0,0,0,0,2.47058823529412,1.75,2.5,0,0.708333333333333,1.01190476190476,-1.47058823529412
"ENSG00000252764",1,0,0,1,0,0,0,0,0,1,1,0,12,2,10,7,4,5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2.52941176470588,2.25,0.125,0,0.88953488372093,0.0494186046511628,-1.52941176470588
"ENSG00000211693",0,10,0,1,0,0,1,0,3,0,0,0,3,2,17,1,1,5,0,65,0,0,7,0,2,0,1,0,0,0,0,0,0,0,2.58823529411765,16.25,1.25,0,6.27840909090909,0.482954545454545,-1.58823529411765
"ENSG00000271474",8,0,16,3,15,0,5,1,0,0,8,2,0,0,1,1,3,0,2,3,1,1,0,0,0,1,2,0,1,1,0,0,0,0,3.23529411764706,1.75,0.625,0,0.540909090909091,0.193181818181818,-2.23529411764706
"ENSG00000256377",0,11,1,14,0,0,1,0,8,0,0,0,1,0,11,0,10,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3.41176470588235,0.5,0.25,0,0.146551724137931,0.0732758620689655,-2.41176470588235
"ENSG00000213231",0,2,2,0,4,3,2,3,7,2,6,1,0,16,1,4,4,4,5,4,0,4,4,3,0,0,2,2,1,2,0,0,0,0,3.58823529411765,3.25,1.75,0,0.905737704918033,0.487704918032787,-2.58823529411765
"ENSG00000204711",0,2,33,0,0,22,2,0,0,1,0,0,3,2,26,0,0,0,22,0,1,2,0,3,19,0,0,0,1,0,0,0,0,0,5.35294117647059,6.25,2.875,0,1.16758241758242,0.537087912087912,-4.35294117647059
"ENSG00000146250",1,18,2,2,14,10,9,0,14,7,9,0,4,3,30,12,2,8,0,0,3,5,0,0,7,0,0,0,1,2,0,0,0,0,8.47058823529412,2,1.25,0,0.236111111111111,0.147569444444444,-7.47058823529412
